"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-08-31,21195,"Wellington","FL","Miami-Fort Lauderdale","Palm Beach",904,356600,0.00365887981987053,0.0093405038211152,0.0647954613317408,0.0957966185844066,0.00433607633387845,"2006-02","2006-Q1",414100,-0.138855348949529,"2005-04"
2017-08-31,27016,"Sebring","FL","Sebring","Highlands",905,120600,0.00416319733555371,0.0255102040816327,0.0923913043478261,0.101129016177635,-0.0181212193749392,"2006-07","2006-Q3",165100,-0.269533615990309,"2005-04"
2017-08-31,28485,"Highland","CA","Riverside","San Bernardino",906,315900,0.0015852885225111,0.00573065902578797,0.0726655348047538,0.116963392482115,-0.00928884337389124,"2006-07","2006-Q3",368200,-0.14204236827811,"2005-07"
2017-08-31,55006,"Wake Forest","NC","Raleigh","Wake",907,283600,0.00105894811154253,0.00567375886524823,0.0179468772433597,0.0341211239875312,0.00985824350620224,"2017-08","2017-Q3",283600,0,"2017-08"
2017-08-31,15796,"Methuen","MA","Boston","Essex",908,333500,0.00482072913528171,0.0164583968302347,0.089157413455258,0.0718826743422198,0.0145300271942923,"2017-08","2017-Q3",333500,0,"2017-08"
2017-08-31,16216,"West Orange","NJ","New York","Essex",909,358400,-0.00665188470066519,-0.0221009549795362,-0.00967117988394584,0.0363519633313663,-0.0133606907813033,"2006-06","2006-Q2",433900,-0.174003226549896,"2004-06"
2017-08-31,11520,"Frankfort","KY","Frankfort","Franklin",910,129400,0.00154798761609907,0.00154798761609907,0.0503246753246753,0.0203512078510992,0.00524886390743218,"2008-12","2008-Q4",134500,-0.0379182156133829,"2008-09"
2017-08-31,38134,"Danville","CA","San Francisco","Contra Costa",911,1219100,0.0016432503491907,-0.00375909128054262,0.0455403087478559,0.0818050629475653,0.0187928347530459,"2017-04","2017-Q2",1224700,-0.0045725483791949,"2017-02"
2017-08-31,6102,"Murray","UT","Salt Lake City","Salt Lake",912,253600,0.00237154150197628,0.0180650341228422,0.0968858131487889,0.0767702041758873,0.00219503876453908,"2008-01","2008-Q1",254000,-0.0015748031496063,"2008-01"
2017-08-31,21995,"Lakewood","OH","Cleveland","Cuyahoga",913,158800,0.00506329113924051,0.0179487179487179,0.149059334298119,0.0709897549570881,0.0194311978253303,"2017-08","2017-Q3",158800,0,"2017-08"
2017-08-31,395756,"Old Bridge Township","NJ","New York","Middlesex",914,346300,0.011685655857435,0.0318831942789035,0.0478063540090772,0.0363365116876724,-0.00646354971168062,"2006-05","2006-Q2",382500,-0.094640522875817,"2005-05"
2017-08-31,12608,"Massapequa","NY","New York","Nassau",915,476900,-0.00230125523012552,-0.00188363331938049,0.0511351113070311,0.0435256352798856,0.00169316170320899,"2006-08","2006-Q3",488900,-0.024544896706893,"2005-11"
2017-08-31,53590,"Normal","IL","Bloomington","McLean",916,149100,-0.006,-0.0138888888888889,0.0142857142857143,0.0144196085808483,0.000403307659467611,"2017-03","2017-Q1",151300,-0.0145406477197621,"2017-03"
2017-08-31,25534,"Lebanon","TN","Nashville","Wilson",917,233200,0.00865051903114187,0.0332299512627382,0.113658070678128,0.0782555759715393,0.0323578626791556,"2017-08","2017-Q3",233200,0,"2017-08"
2017-08-31,397383,"Johns Creek","GA","Atlanta","Fulton",918,390900,0.00333675564681725,0.0017939518195797,0.0449077786688051,0.0584847379515727,0.0115184968077295,"2017-02","2017-Q1",392000,-0.00280612244897959,"2017-01"
2017-08-31,37303,"Battle Creek","MI","Battle Creek","Calhoun",919,74100,-0.00403225806451613,-0.00803212851405622,0.0291666666666667,0.0531359443684718,-0.0139772900287679,"2006-04","2006-Q2",92200,-0.196312364425163,"2000-02"
2017-08-31,13127,"Oroville","CA","Chico","Butte",920,199600,0.00251130085384229,0.00503524672708963,0.0913067249863313,0.0860543110864764,-0.0138617947072126,"2007-05","2007-Q2",231500,-0.137796976241901,"2005-06"
2017-08-31,15471,"East Brunswick","NJ","New York","Middlesex",921,347800,0.010459035444509,0.0125181950509461,0.00636574074074074,0.0266110810965243,-0.0119677352417022,"2006-05","2006-Q2",405800,-0.142927550517496,"2004-09"
2017-08-31,4317,"Decatur","AL","Decatur","Morgan",922,108500,0.0130718954248366,0.0178236397748593,0.238584474885845,,,"2017-08","2017-Q3",108500,0,"2017-08"
2017-08-31,5465,"La Mirada","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",923,553900,-0.000541320822807651,0.00126536514822849,0.0544450790024748,0.0850993821485668,0.00417442188537231,"2006-08","2006-Q3",564100,-0.0180819003722744,"2006-03"
